Track,SDR Drums,SIR Drums,SAR Drums,SDR Bass,SIR Bass,SAR Bass,SDR Other,SIR Other,SAR Other,SDR Vocals,SIR Vocals,SAR Vocals
The Long Wait - Back Home To Blue,2.3114713601713706,6.220286596688382,5.507551442632947,12.741889141719538,24.341381507138834,13.069237443026832,5.990297899933932,9.806846062960334,8.75269353845438,4.35874804463457,8.049030668842322,7.413504308919709
The Scarlet Brand - Les Fleurs Du Mal,3.3099060813857504,6.608797763389964,6.90726380473447,5.462698257234142,10.621550115598325,7.402996310228563,5.97871273368439,9.157342592960326,9.324620874889378,3.3929759874965093,10.01269046146149,4.87249093358272
The So So Glos - Emergency,6.658457843234635,13.490624227270136,7.858036337604025,7.5674887430822855,13.070571769923651,9.213098774037535,5.901702159142791,9.164918425707837,9.169844277524168,3.502076139913437,9.341775512898396,5.291539999100242
The Wrong'Uns - Rothko,8.299817066093938,19.937315404424474,8.65223896300368,6.683005337966447,11.458249917588265,8.741737526049548,5.0843699918499485,8.927872953194267,7.918970274814616,7.169370856195158,15.145519059375388,8.054101674991118
Tim Taler - Stalker,-0.15563124607650697,6.911562498911923,1.5992430115680483,1.7957034294188836,4.699578979029864,6.182508220812193,3.3090124898606583,5.243888992928394,8.887855882191422,-1.1830726970717644,2.563106919785888,3.1133073498114854
Titanium - Haunted Age,4.772305652920837,10.617459148828878,6.443070378176511,3.8601432077730258,6.735711758309549,7.844677334219732,6.3433405858596785,10.756537667096346,8.645317996861614,2.4843574041698373,8.882485068528457,4.1431273825371555
Traffic Experiment - Once More (With Feeling),1.8320902582056657,8.738886067529592,3.3671233419697337,6.060622583662151,10.36922650023001,8.45436306946375,5.811182637074328,9.155943068513237,9.0087536988339,2.2270232121177176,8.25588556414045,4.078450664915014
Traffic Experiment - Sirens,4.54572765458381,9.913281478381318,6.458489160848221,4.297593884256427,8.359596337733807,7.053321387740123,8.70203844560952,13.944287866648015,10.416990345562176,2.2848278947693257,6.867621115341179,4.955505737994952
Triviul - Angelsaint,6.068638135296954,11.924757696785203,7.6444922548159795,9.454820928916655,18.761001505136786,10.05418786570723,4.206954108526574,7.041391622170288,8.183779246688076,5.5495927670193215,12.103457628392123,6.8944978093732825
Triviul - Dorothy,9.34820263490953,18.324756622375073,9.999348173155514,3.8594850951144717,8.370500883348623,6.346646826473513,0.31526577152135093,2.3705420427095687,6.536394436699093,5.096044878881523,13.937552081338257,5.875657859799079
Voelund - Comfort Lives In Belief,3.2607528788782734,10.543814799318847,4.526716351851132,3.9013649817375775,8.023109552986158,6.6632496933769225,6.5873852847146095,10.720182033076425,9.059711375781093,3.1352056875449676,8.089666572331671,5.434076469074471
Wall Of Death - Femme,8.520124150323369,16.126252171840964,9.452571831256462,4.272147947617834,8.253357359620754,7.094549423317589,8.32672098819972,13.846964838164748,9.932082101875553,1.2819534369670946,5.2035702128346175,4.684660612911645
Young Griffo - Blood To Bone,6.608343774642868,15.407873551700465,7.345604944831803,9.771209566028498,20.85722330049255,10.15881675921587,3.7326560708995378,6.306744453386003,8.141283103688032,4.725581227755259,10.79414738893293,6.306538342138678
Young Griffo - Facade,4.846689831828979,13.587568606113557,5.65574114140011,8.12099146638099,13.741146058416225,9.692251395065481,6.720338128478085,10.521181446658538,9.431123405693482,4.917776841730653,10.874722145362236,6.5298901812608
Young Griffo - Pennies,5.681342979563734,10.428103327286687,7.831239219607785,9.22812112144664,19.26501712028624,9.732751291519913,4.641396865895878,7.608352579497348,8.390109172767614,5.305086412307424,12.284114044424882,6.526228871413382
